Datecadangan,Close,warna
2007-04-03,5750.0,red
2007-04-04,5800.0,red
2007-04-05,5700.0,red
2007-04-09,5700.0,red
2007-04-10,5700.0,red
2007-04-11,5800.0,red
2007-04-12,5850.0,red
2007-04-13,6000.0,red
2007-04-16,6100.0,red
2007-04-17,6000.0,red
2007-04-18,5900.0,red
2007-04-19,5650.0,red
2007-04-20,5800.0,red
2007-04-23,5750.0,red
2007-04-24,5650.0,red
2007-04-25,5600.0,red
2007-04-26,5650.0,red
2007-04-27,5600.0,red
2007-04-30,5650.0,red
2007-05-01,5650.0,red
2007-05-02,5850.0,red
2007-05-03,5800.0,red
2007-05-04,5850.0,red
2007-05-07,5750.0,red
2007-05-08,5800.0,red
2007-05-09,5950.0,red
2007-05-10,5900.0,red
2007-05-11,5700.0,red
2007-05-14,5700.0,red
2007-05-15,5750.0,red
2007-05-16,6000.0,red
2007-05-21,6100.0,red
2007-05-22,6050.0,red
2007-05-23,6250.0,red
2007-05-24,6300.0,red
2007-05-25,6200.0,red
2007-05-28,6250.0,red
2007-05-29,6250.0,red
2007-05-30,6250.0,red
2007-05-31,6300.0,red
2007-06-04,6100.0,red
2007-06-05,6200.0,red
2007-06-06,6350.0,red
2007-06-07,6250.0,red
2007-06-08,6300.0,red
2007-06-11,6850.0,red
2007-06-12,6800.0,red
2007-06-13,6800.0,red
2007-06-14,6950.0,red
2007-06-15,6850.0,red
2007-06-18,6900.0,red
2007-06-19,7050.0,red
2007-06-20,7150.0,red
2007-06-21,7000.0,red
2007-06-22,7200.0,red
2007-06-25,7100.0,red
2007-06-26,7100.0,red
2007-06-27,6850.0,red
2007-06-28,6700.0,red
2007-06-29,6700.0,red
2007-07-02,6750.0,red
2007-07-03,6950.0,red
2007-07-04,7000.0,red
2007-07-05,6900.0,red
2007-07-06,6850.0,red
2007-07-09,6900.0,red
2007-07-10,6800.0,red
2007-07-11,6850.0,red
2007-07-12,7050.0,red
2007-07-13,7050.0,red
2007-07-16,6950.0,red
2007-07-17,7100.0,red
2007-07-18,7150.0,red
2007-07-19,7150.0,red
2007-07-20,7500.0,red
2007-07-23,7600.0,red
2007-07-24,7500.0,red
2007-07-25,7500.0,red
2007-07-26,7450.0,red
2007-07-27,7150.0,red
2007-07-30,7300.0,red
2007-07-31,7550.0,red
2007-08-01,7200.0,red
2007-08-02,7000.0,red
2007-08-03,6850.0,red
2007-08-06,7500.0,red
2007-08-07,6650.0,red
2007-08-08,7050.0,red
2007-08-09,6850.0,red
2007-08-10,6700.0,red
2007-08-13,6700.0,red
2007-08-14,6450.0,red
2007-08-15,5950.0,red
2007-08-16,5700.0,red
2007-08-20,6350.0,red
2007-08-21,6450.0,red
2007-08-22,6550.0,red
2007-08-23,6700.0,red
2007-08-24,6850.0,red
2007-08-27,7000.0,red
2007-08-28,7000.0,red
2007-08-29,6800.0,red
2007-08-30,6800.0,red
2007-08-31,6800.0,red
2007-09-03,6900.0,red
2007-09-04,7000.0,red
2007-09-05,6850.0,red
2007-09-06,6900.0,red
2007-09-07,7000.0,red
2007-09-10,6850.0,red
2007-09-11,6750.0,red
2007-09-12,6750.0,red
2007-09-13,6750.0,red
2007-09-14,6650.0,red
2007-09-17,6650.0,red
2007-09-18,6750.0,red
2007-09-19,6850.0,red
2007-09-20,6850.0,red
2007-09-21,6950.0,red
2007-09-24,6900.0,red
