Datecadangan,Predictions,warna
2012-04-11,9683.601851502666,blue
2012-04-12,9685.80587657541,blue
2012-04-13,9688.009901647922,blue
2012-04-16,9694.621976865921,blue
2012-04-17,9696.826001938432,blue
2012-04-18,9699.030027011177,blue
2012-04-19,9701.234052083688,blue
2012-04-20,9703.438077156432,blue
2012-04-23,9710.050152374431,blue
2012-04-24,9712.254177446943,blue
2012-04-25,9714.458202519687,blue
2012-04-26,9716.662227592198,blue
2012-04-27,9718.866252664942,blue
2012-04-30,9725.478327882709,blue
2012-05-01,9727.682352955453,blue
2012-05-02,9729.886378027964,blue
2012-05-03,9732.090403100708,blue
2012-05-04,9734.29442817322,blue
2012-05-07,9740.90650339122,blue
2012-05-08,9743.110528463963,blue
2012-05-09,9745.314553536475,blue
2012-05-10,9747.518578609219,blue
2012-05-11,9749.72260368173,blue
2012-05-14,9756.33467889973,blue
2012-05-15,9758.538703972241,blue
2012-05-16,9760.742729044985,blue
2012-05-21,9771.762854408007,blue
2012-05-22,9773.966879480751,blue
2012-05-23,9776.170904553263,blue
2012-05-24,9778.374929626007,blue
2012-05-25,9780.57895469875,blue
2012-05-28,9787.191029916517,blue
2012-05-29,9789.395054989262,blue
2012-05-30,9791.599080061773,blue
2012-05-31,9793.803105134517,blue
2012-06-01,9796.007130207028,blue
2012-06-04,9802.619205425028,blue
2012-06-05,9804.823230497539,blue
2012-06-06,9807.027255570283,blue
2012-06-07,9809.231280642794,blue
2012-06-08,9811.435305715539,blue
2012-06-11,9818.047380933538,blue
2012-06-12,9820.25140600605,blue
2012-06-13,9822.455431078793,blue
2012-06-14,9824.659456151305,blue
2012-06-15,9826.863481224049,blue
2012-06-18,9833.475556441816,blue
2012-06-19,9835.67958151456,blue
2012-06-20,9837.883606587071,blue
2012-06-21,9840.087631659815,blue
2012-06-22,9842.291656732326,blue
2012-06-25,9848.903731950326,blue
2012-06-26,9851.10775702307,blue
2012-06-27,9853.311782095581,blue
2012-06-28,9855.515807168325,blue
2012-06-29,9857.719832240837,blue
2012-07-02,9864.331907458836,blue
2012-07-03,9866.535932531347,blue
2012-07-04,9868.739957604092,blue
2012-07-05,9870.943982676603,blue
2012-07-06,9873.148007749347,blue
2012-07-09,9879.760082967114,blue
2012-07-10,9881.964108039858,blue
2012-07-11,9884.16813311237,blue
2012-07-12,9886.372158185113,blue
2012-07-13,9888.576183257857,blue
2012-07-16,9895.188258475624,blue
2012-07-17,9897.392283548368,blue
2012-07-18,9899.59630862088,blue
2012-07-19,9901.800333693624,blue
2012-07-20,9904.004358766135,blue
2012-07-23,9910.616433984134,blue
2012-07-24,9912.820459056646,blue
2012-07-25,9915.02448412939,blue
2012-07-26,9917.228509201901,blue
2012-07-27,9919.432534274645,blue
2012-07-30,9926.044609492645,blue
2012-07-31,9928.248634565156,blue
2012-08-01,9930.4526596379,blue
2012-08-02,9932.656684710411,blue
2012-08-03,9934.860709783155,blue
2012-08-06,9941.472785000922,blue
2012-08-07,9943.676810073666,blue
2012-08-08,9945.880835146178,blue
2012-08-09,9948.084860218922,blue
2012-08-10,9950.288885291433,blue
2012-08-13,9956.900960509432,blue
2012-08-14,9959.104985582177,blue
2012-08-15,9961.309010654688,blue
2012-08-16,9963.513035727432,blue
2012-08-23,9978.94121123571,blue
2012-08-24,9981.145236308454,blue
2012-08-27,9987.75731152622,blue
2012-08-28,9989.961336598964,blue
2012-08-29,9992.165361671476,blue
2012-08-30,9994.36938674422,blue
2012-08-31,9996.573411816964,blue
2012-09-03,10003.18548703473,blue
2012-09-04,10005.389512107475,blue
2012-09-05,10007.593537179986,blue
2012-09-06,10009.79756225273,blue
2012-09-07,10012.001587325241,blue
2012-09-10,10018.613662543241,blue
2012-09-11,10020.817687615752,blue
2012-09-12,10023.021712688496,blue
2012-09-13,10025.225737761008,blue
2012-09-14,10027.429762833752,blue
2012-09-17,10034.041838051751,blue
2012-09-18,10036.245863124263,blue
2012-09-19,10038.449888197007,blue
2012-09-20,10040.653913269518,blue
2012-09-21,10042.857938342262,blue
2012-09-24,10049.470013560029,blue
2012-09-25,10051.674038632773,blue
2012-09-26,10053.878063705284,blue
2012-09-27,10056.082088778028,blue
2012-09-28,10058.28611385054,blue
2012-10-01,10064.898189068539,blue
2012-10-02,10067.102214141283,blue
2012-10-03,10069.306239213794,blue
2012-10-04,10071.510264286539,blue
2012-10-05,10073.71428935905,blue
2012-10-08,10080.32636457705,blue
2012-10-09,10082.53038964956,blue
2012-10-10,10084.734414722305,blue
2012-10-11,10086.938439794816,blue
2012-10-12,10089.14246486756,blue
2012-10-15,10095.754540085327,blue
2012-10-16,10097.958565158071,blue
2012-10-17,10100.162590230582,blue
2012-10-18,10102.366615303326,blue
2012-10-19,10104.57064037607,blue
2012-10-22,10111.182715593837,blue
2012-10-23,10113.386740666581,blue
2012-10-24,10115.590765739093,blue
2012-10-25,10117.794790811837,blue
2012-10-29,10126.610891102348,blue
2012-10-30,10128.814916174859,blue
2012-10-31,10131.018941247603,blue
2012-11-01,10133.222966320114,blue
2012-11-02,10135.426991392858,blue
2012-11-05,10142.039066610858,blue
2012-11-06,10144.24309168337,blue
2012-11-07,10146.447116756113,blue
2012-11-08,10148.651141828625,blue
2012-11-09,10150.855166901369,blue
2012-11-12,10157.467242119135,blue
2012-11-13,10159.67126719188,blue
2012-11-14,10161.87529226439,blue
2012-11-19,10172.895417627646,blue
2012-11-20,10175.09944270039,blue
2012-11-21,10177.303467772901,blue
2012-11-22,10179.507492845645,blue
2012-11-23,10181.711517918156,blue
2012-11-26,10188.323593136156,blue
2012-11-27,10190.527618208667,blue
2012-11-28,10192.731643281411,blue
2012-11-29,10194.935668353923,blue
2012-11-30,10197.139693426667,blue
2012-12-03,10203.751768644433,blue
2012-12-04,10205.955793717178,blue
2012-12-05,10208.159818789689,blue
2012-12-06,10210.363843862433,blue
2012-12-07,10212.567868935177,blue
2012-12-10,10219.179944152944,blue
2012-12-11,10221.383969225688,blue
2012-12-12,10223.5879942982,blue
2012-12-13,10225.792019370943,blue
2012-12-14,10227.996044443455,blue
2012-12-17,10234.608119661454,blue
2012-12-18,10236.812144733965,blue
2012-12-19,10239.01616980671,blue
2012-12-20,10241.22019487922,blue
2012-12-21,10243.424219951965,blue
2012-12-26,10254.44434531522,blue
2012-12-27,10256.648370387731,blue
2012-12-28,10258.852395460475,blue
2013-01-02,10269.872520823497,blue
2013-01-03,10272.076545896241,blue
2013-01-04,10274.280570968753,blue
2013-01-07,10280.892646186752,blue
2013-01-08,10283.096671259496,blue
2013-01-09,10285.300696332008,blue
2013-01-10,10287.504721404752,blue
2013-01-11,10289.708746477263,blue
